beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,n_draws_attempted
0.20153840050613586,0.07002163427936084,0.3530775429343863,0.6424987032041171,0.734,13.716999999999999,0.40828254229876687,7.2,490.6,0.7656675749318801,10000
0.16539477588555368,0.07193010210388677,0.4144160750673318,0.6181579211617952,0.65,12.317,0.3596039785505851,9.2,722.6,0.9384615384615385,10000
0.22136719006606234,0.12139159522248871,0.28448031612440355,0.8550491226473645,0.589,6.852000000000001,0.39013528573147516,7.0,384.8,0.7758913412563668,10000
0.22134753876570404,0.0635460436019295,0.46754054147301666,0.8476035982290543,0.775,14.02,0.40298941475272054,7.6,683.6,1.0206451612903225,10000
0.1773361587169589,0.13577403482738132,0.2874592216747397,0.8879137952167296,0.538,6.162999999999999,0.3705246389656679,7.2,433.6,0.7862453531598512,10000
0.19011724719393863,0.07916646599889844,0.2920811175587244,0.7328589986513844,0.72,11.969,0.4250732175460623,7.2,427.8,0.7652777777777778,10000
0.23404413322096784,0.09740348503463475,0.3558208914089835,0.8393222410069606,0.6599999999999999,8.657,0.34229092519489973,6.0,455.4,0.9045454545454548,10000
0.1655264080201011,0.09403364644408936,0.27202329815567233,0.47190453572626495,0.667,9.944999999999999,0.3837209923439707,7.4,450.4,0.7436281859070465,10000
0.1577516882898499,0.06722946100639855,0.25614433858741753,0.5498161664644922,0.717,13.51,0.40980581212759415,8.2,454.4,0.6624825662482566,10000
0.19324366741516436,0.06742360580026928,0.2759715479669988,0.7740143189791027,0.738,13.873,0.395651586833499,7.0,402.0,0.6531165311653118,10000
0.17959635653186373,0.08434420332844927,0.3221041809083989,0.26814478526812024,0.6559999999999999,10.443999999999999,0.3834776422312834,7.8,530.4,0.7957317073170733,10000
0.2082919656881813,0.10354594250280204,0.35240689933782915,0.5620131136255211,0.655,8.764,0.39482332321221614,7.0,489.6,0.8427480916030535,10000
0.2117663771380152,0.10985670366673049,0.4268671833287944,0.6112989283560217,0.625,8.386,0.37699094248997417,7.6,621.0,1.1104,10000
0.25229938575401634,0.09983801071182055,0.41523732401871083,0.6630394637008414,0.659,8.474999999999998,0.3736266039415675,6.6,533.0,1.031866464339909,10000
0.1585482104508089,0.0891482437691426,0.328925212979589,0.23671004588087038,0.638,9.915999999999999,0.37936341799313933,8.4,582.0,0.8275862068965516,10000
0.2825550482474242,0.10248592205839462,0.37499025310843304,0.904798445616616,0.699,8.555,0.3518506744578457,5.8,434.2,0.9270386266094421,10000
0.1831969804880184,0.10251488666867926,0.2585229245431874,0.708399803638431,0.663,8.782,0.3868659373245308,7.0,387.6,0.6923076923076923,10000
0.1613110004599933,0.10775204328479324,0.22508841604225704,0.7764827769742046,0.611,7.998999999999998,0.397232749715197,7.4,370.2,0.6366612111292962,10000
0.12106709541382335,0.0745966126803289,0.165896801945845,0.7561935721651136,0.644,12.471999999999998,0.4013161650332682,10.0,357.4,0.4798136645962732,10000
0.1661171928217218,0.10722473801060883,0.1976602444207276,0.8824438986942408,0.592,7.998999999999998,0.3914943941313639,8.6,312.6,0.5371621621621622,10000
0.25770812768131296,0.1175213095356991,0.4958986721975083,0.908359661855514,0.651,7.534000000000001,0.3682881619882726,6.2,644.8,1.1874039938556065,10000
0.2357635644021109,0.09912236269018475,0.3246038942479448,0.761578307630898,0.6819999999999999,9.305999999999997,0.3685365588464313,6.4,403.6,0.7815249266862171,10000
0.16503296058394198,0.13437416228690258,0.27895136458630443,0.8509299334972864,0.526,6.3469999999999995,0.3570634090490281,7.8,450.4,0.752851711026616,10000
0.18963662202925052,0.05962757953117391,0.2994760337793811,0.7684733967335952,0.7699999999999999,15.448999999999998,0.39163651911016306,7.4,459.6,0.7142857142857144,10000
0.20258331133156285,0.09503152310430475,0.3561903947605418,0.5011325642069392,0.6950000000000001,9.718,0.3961543371674361,7.2,516.6,0.8676258992805755,10000
0.24184316079585189,0.12229094122574008,0.484427689648441,0.89110157564515,0.5820000000000001,7.181,0.34882588391224056,7.8,686.6,1.2147766323024054,10000
0.29444974865319135,0.08452094230186119,0.5218626119727127,0.8884563850682181,0.729,9.892999999999997,0.3496566056899958,6.2,643.0,1.1262002743484225,10000
0.2004284684185246,0.12621771366786141,0.4370999350084816,0.8604731290048593,0.5599999999999999,7.1850000000000005,0.3416379744542574,7.6,650.2,1.1035714285714286,10000
0.25999282329617307,0.10146760035044428,0.4107302019715901,0.6639004578766566,0.658,9.077999999999998,0.3511072469951297,6.6,527.0,1.0075987841945289,10000
0.11825461698122407,0.06516626185321663,0.21630118843101195,0.5901902472057167,0.667,13.816999999999998,0.38631974236842864,10.4,463.0,0.5142428785607196,10000
0.2347367394106332,0.08623683788606917,0.5037598535970007,0.8765393248911428,0.686,10.712,0.37027422022256007,7.2,748.6,1.193877551020408,10000
0.1115567303045842,0.05651831715105377,0.2417931377843485,0.7505146991388063,0.6839999999999999,16.141,0.38996926718573055,11.0,534.8,0.6125730994152048,10000
0.23207588680400829,0.06599997710261034,0.3939254986915642,0.7094314217044766,0.764,13.607,0.3866637212346616,6.8,549.6,0.8534031413612565,10000
0.14742310070123577,0.09335577580454736,0.3813304229368115,0.8261936074523668,0.5900000000000001,9.533999999999997,0.33927750469523016,10.0,727.8,0.9779661016949152,10000
0.20917022196384166,0.08502156404520478,0.44243279198604857,0.6217719860428977,0.6799999999999999,11.190999999999999,0.38360905101283355,7.4,685.8,1.011764705882353,10000
0.23206123635548645,0.13612620931457456,0.4380712550871911,0.9043397589639051,0.5519999999999999,6.383,0.34111502720229325,7.4,605.0,1.1268115942028987,10000
0.2137069533950966,0.10984060477826317,0.30433830528030176,0.7814085467107371,0.6290000000000001,7.953,0.41487708112039545,6.8,427.0,0.8155802861685213,10000
0.25550166329971147,0.11595321769533662,0.4074093533198295,0.6796162117310468,0.639,7.717000000000001,0.40013734729951106,6.8,504.2,0.9420970266040689,10000
0.11115904657337525,0.06202225218877141,0.218627798382561,0.6241653063437144,0.666,14.868999999999996,0.36411025700650307,10.6,497.6,0.5495495495495495,10000
0.19246883150652788,0.11632003449806128,0.26764469278841413,0.7861686479455582,0.6140000000000001,7.811,0.3621949035271315,7.2,368.4,0.6954397394136806,10000
0.16436981327792766,0.08852564739839829,0.2080931987565222,0.8494575794808461,0.655,10.104,0.41021631256646585,7.6,318.2,0.5587786259541985,10000
0.2488016414767572,0.11326440924078367,0.5087081431160263,0.76181280020538,0.625,7.778999999999999,0.35381607023900774,7.4,675.2,1.1056,10000
0.20956110717585816,0.09245713766611328,0.3662305089226747,0.47691156762547177,0.6769999999999999,10.422999999999998,0.40678469839736164,7.4,559.4,0.9098966026587889,10000
0.20094723607269058,0.10452611024045941,0.48334677029248563,0.8893769436737455,0.628,8.358999999999998,0.347070949101707,8.0,758.6,1.1353503184713376,10000
0.14019800965665452,0.07550947257664842,0.18734090904603412,0.8758189534938833,0.671,12.271999999999997,0.4212895194667096,7.8,326.2,0.46646795827123694,10000
0.23715552379903224,0.12969624375952665,0.3394474024437093,0.8403659956871468,0.592,6.801,0.3481609715162791,6.6,457.0,0.8969594594594595,10000
