beta,gamma,rho,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,s_var_degree,distance
0.449717502505436,0.0813586919386454,0.1702380335976832,0.82,11.791999999999996,0.2134528623388686,3.8,140.0,0.398780487804878,9.32298,2.396610348118088
0.3472737567914499,0.0851555493996387,0.3172494772084163,0.7700000000000001,11.538999999999998,0.3192283603283795,4.8,328.2,0.7805194805194804,8.95368,1.4537203513897705
0.1733666407529348,0.1764823903582605,0.6899332274863008,0.096,1.349,0.0374450535801642,5.2,416.2,3.6875,19.315139999999996,5.985702736599244
0.3835239876113159,0.082278066488318,0.7023287922889351,0.761,11.764,0.2991009241746669,5.6,815.4,1.6149802890932985,12.03048,1.754472633654268
0.4592219503358703,0.1478800522465556,0.5797944790618264,0.615,5.590000000000001,0.262017087206423,4.8,512.0,1.3154471544715447,11.61928,1.6707494307881916
0.4223162101814726,0.0828715408940256,0.7076987500165755,0.774,11.247999999999998,0.2787773137715179,5.2,781.4,1.515503875968992,12.10048,1.802878556679713
0.2328343408807905,0.1552037980244445,0.0418644312406511,0.594,5.453,0.3603169865456824,5.4,50.0,0.1296296296296296,8.81962,2.043008830534779
0.381422237613643,0.1119998789438542,0.2181416636814517,0.701,7.633000000000001,0.214777378839364,4.2,172.8,0.5263908701854494,8.434740000000001,2.2806165640809875
0.3369194995456923,0.1427937966006388,0.7671660449213883,0.534,6.262,0.270735197292933,8.0,985.0,1.7041198501872656,15.02814,2.6778903728580965
0.1527277515022504,0.0870378996409045,0.2235665969682155,0.663,10.813,0.3701993465530013,8.4,381.8,0.5490196078431373,9.48678,0.6411500384160731
0.2066894356567631,0.1799000826349108,0.6941329821275848,0.098,1.1590000000000005,-0.0257089528444137,4.2,363.4,3.489795918367347,17.66084,5.926446304783833
0.0869280710195405,0.118352963963962,0.5301885500289585,0.071,0.8440000000000001,0.0174430501099812,3.4,180.0,3.0000000000000004,15.65474,5.370531690087
0.0764749576080494,0.128463880286467,0.2747689395807416,0.231,5.392,0.1919339667898692,19.8,749.0,1.0606060606060606,13.457160000000002,3.904397462508203
0.2227469432071301,0.1769764712028796,0.6603927701536398,0.265,3.82,0.1734102682112351,10.0,1067.4,2.124528301886792,18.14636,4.399088102409166
0.1684302625887502,0.148639858114364,0.3721850775901544,0.449,5.2509999999999994,0.315243897499252,8.8,636.0,1.200445434298441,11.51768,1.378158124290296
0.3982112876163013,0.1402237234987671,0.708934518358249,0.604,5.763,0.2885646313159048,6.0,786.8,1.6142384105960266,14.13706,2.156559959958305
0.4207576359583944,0.0300743170073014,0.3344556058287868,0.924,32.858,0.2765172467401053,4.4,290.4,0.7088744588744589,8.867439999999998,2.9099967318450726
0.1419907325769731,0.0217250744233334,0.2144450330427721,0.89,45.709999999999994,0.4543981011714596,9.0,407.4,0.5033707865168539,8.7785,3.6408510608069307
0.1320975884885828,0.0280462551771075,0.6454386125738364,0.499,21.346,0.1357015915137275,18.6,1184.8,1.4188376753507017,23.07258,6.158459052157678
0.4947192095345931,0.0436598254148944,0.0745582296969326,0.893,22.275,0.223993900257759,3.8,52.8,0.1522956326987682,8.642140000000001,2.8991848124018946
0.0611729230192658,0.133991598597229,0.2073097105922871,0.1639999999999999,3.91,0.1275886342075947,18.4,512.2,1.0975609756097562,14.721040000000002,4.222204922554159
0.1936375471306636,0.1515103495696891,0.7412155809435466,0.0839999999999999,0.841,-0.0136333408699095,3.0,227.8,4.690476190476191,15.26498,6.346123833662111
0.1788064078882863,0.1633135990952363,0.6030230388514104,0.177,2.878,0.0839251609710801,11.2,781.0,2.4124293785310735,16.00442,4.392367101289023
0.4311674397422462,0.1864093212102208,0.2977293516793324,0.6380000000000001,4.648000000000001,0.1454802928967142,4.0,230.2,0.7758620689655171,9.1738,2.617090325168672
0.2251619376891157,0.1607858647897871,0.530680924770467,0.415,5.010000000000001,0.2753990381900533,8.6,776.2,1.4144578313253011,13.256200000000002,2.081552863778597
0.2701420485412814,0.0272863228120098,0.3798368543212719,0.901,36.676,0.3812102575929328,6.0,455.0,0.8146503884572697,9.739259999999998,2.786150465630029
0.162806127051773,0.1353425627414363,0.0367563878816835,0.579,6.726000000000001,0.4017151376712517,6.8,58.8,0.1381692573402418,8.6642,1.9111873097436909
0.1885902427426272,0.1040126291772462,0.4554700697546777,0.599,8.972,0.2713986295616962,9.4,776.2,1.0550918196994992,12.4635,1.4736828260572077
0.3068008754637293,0.1317688084176999,0.6297756548527755,0.5289999999999999,6.226000000000001,0.2723221264532284,10.0,815.2,1.4782608695652175,12.5722,1.833639373009829
0.4349354207265846,0.1163474420364398,0.6792535487786663,0.667,7.483,0.2474706780795445,5.0,698.8,1.5727136431784108,11.81558,1.8463025548458198
0.0711393700061013,0.1078242271338603,0.2776469782385646,0.258,6.989,0.1898478154116241,22.0,815.4,0.9108527131782944,14.053539999999998,4.323720112403611
0.2136986160219211,0.1136753529404328,0.2012763215389857,0.68,8.11,0.3450668031020201,5.8,240.8,0.4823529411764705,9.22524,1.3551766762532802
