beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,n_draws_attempted
0.1550715507572642,0.07980910331514562,0.4228317931322078,0.5312312144831479,0.628,11.054999999999998,0.3377948289881826,10.4,10000
0.17657055012336886,0.08914964124100283,0.2094355162192433,0.528934084547552,0.6779999999999999,9.967999999999998,0.39413164847174126,6.8,10000
0.3248389176717287,0.07770568848804309,0.7234943249810032,0.5525818333036383,0.7270000000000001,11.460999999999999,0.34383539740095903,7.2,10000
0.16481973846366582,0.09316430534532215,0.3265499759862313,0.21026500936554426,0.623,10.120999999999999,0.3753177522176744,8.4,10000
0.20280947680471334,0.09202614612547233,0.22704536985472804,0.48905543041102106,0.675,10.684999999999997,0.3813368648485902,6.8,10000
0.16440586368420526,0.07467967803703075,0.17026727893572044,0.592751122998989,0.711,12.713,0.418472709326669,7.2,10000
0.2280984563906589,0.08904961753601864,0.6715249063624115,0.573990549375504,0.648,11.167999999999997,0.3113987964073912,9.4,10000
0.2704216642889688,0.07161473288346551,0.7106366133601303,0.5453930716515338,0.7100000000000001,13.039999999999997,0.3211803276033937,9.0,10000
0.11402761019103619,0.09605317158540715,0.16571687427812673,0.45084075609200197,0.584,9.466999999999997,0.36778539911034247,9.8,10000
0.2374365811271739,0.09527860591480726,0.5405672252930032,0.3723527867923781,0.6340000000000001,9.069999999999999,0.3573788566599113,7.8,10000
0.1662135885878226,0.09953971097327638,0.4602801792840463,0.4360956350644048,0.598,8.937999999999999,0.3457141416627295,9.0,10000
0.1346698057447077,0.0671027406700276,0.26294810274110453,0.3606344826684738,0.688,14.102999999999998,0.3758333282402154,9.6,10000
0.2806189640477775,0.0831807037321615,0.6555842676451312,0.4663819788191625,0.707,11.118999999999998,0.34609469670031023,7.4,10000
0.29609280542541383,0.07760269174823578,0.6353221418972625,0.4736592416666118,0.733,12.407999999999998,0.3549522187261769,7.6,10000
0.20363404339650368,0.09886886086547413,0.25838574684219157,0.5242152432046391,0.6920000000000001,9.128,0.3922577528130988,7.0,10000
0.2557789546204233,0.09531568230947009,0.5641760464949116,0.4437921978588652,0.666,9.129,0.3680101076627483,7.2,10000
0.23196913052695842,0.11205149412859373,0.4203986023427395,0.4321173372961606,0.625,7.938,0.3739634945774105,7.8,10000
0.32356061372384953,0.06772485418454548,0.6523573987689789,0.603055860777921,0.7500000000000001,13.933999999999997,0.35321210569042744,7.4,10000
0.3543126676494924,0.08633488639875932,0.693836151391174,0.4829804264381643,0.6900000000000001,10.404,0.34644730694347003,7.2,10000
0.23402927952165564,0.08877982166962935,0.5955973887424123,0.36835696350615044,0.6690000000000002,10.801999999999998,0.33460238410164356,8.4,10000
0.1999168102113755,0.10159741982103364,0.38194265239546454,0.4029930065964118,0.591,8.764,0.36116350803542485,8.6,10000
0.1510423494618843,0.0920675522009956,0.2943321594245467,0.2655938237713244,0.637,9.663999999999998,0.3943281608406498,8.4,10000
0.20398536056521108,0.09673252579024984,0.35472032914186924,0.4736736357853976,0.669,9.408999999999997,0.38078301421151395,7.0,10000
0.15313005125980228,0.07225753206128617,0.25477921760498295,0.42926765259729516,0.704,13.094999999999999,0.4135601328230294,8.4,10000
0.16200679016102804,0.06732436752756886,0.1388243756533301,0.5501564515525358,0.719,13.988999999999999,0.4100147771698741,7.6,10000
0.17921895348265485,0.09719330560655215,0.4615977194328661,0.5452332860947039,0.613,9.302,0.3223309226881773,9.2,10000
0.13813913057233718,0.10300834019237189,0.16574022898311888,0.456885814099015,0.621,8.627999999999998,0.41072273087131517,8.2,10000
0.14216652123892726,0.07498306984657246,0.2575859688790173,0.1933325132457735,0.671,11.871999999999998,0.3958202905995357,8.8,10000
0.19629753982675988,0.08921742910680226,0.4947444681877521,0.5909060652152831,0.626,10.107999999999997,0.3146164674755969,9.6,10000
0.20988708803348036,0.09011947528958131,0.4676759241562256,0.3007846994458026,0.6529999999999999,10.193999999999997,0.34716860864599014,8.2,10000
0.15337347098498752,0.08451167806243146,0.07374646226356862,0.5497530140991329,0.688,10.785999999999998,0.4025382358788979,6.8,10000
0.12532120970379082,0.07231492896828157,0.2663699910582495,0.4086361544258665,0.6799999999999999,13.229999999999999,0.3722073709125815,10.2,10000
0.11715472549472154,0.0728157493874053,0.09859944114416096,0.3551923034954814,0.671,13.052999999999997,0.40623175699743513,9.4,10000
0.2908433691136352,0.09462897732216947,0.586567277263194,0.3610152683588543,0.693,9.842999999999998,0.3550800899799499,7.8,10000
0.31977490688755267,0.09340599821942756,0.7161580717107386,0.5679238967778845,0.6859999999999999,9.303999999999998,0.32918790655915064,7.4,10000
0.12361490449411021,0.08704595408804006,0.08433734236970523,0.36948447566952636,0.651,10.563999999999997,0.41688850831303476,8.8,10000
0.15830585231738492,0.08278688807164868,0.08634209398880587,0.44922295507060966,0.6689999999999999,10.319999999999999,0.4080185169616436,7.4,10000
0.1522492643233309,0.07098608578550034,0.3389957022811461,0.12133566494222581,0.667,12.195999999999998,0.3817401916405519,9.0,10000
0.18770289369460105,0.07495942195772148,0.40123086351301185,0.3175369509776378,0.714,13.138,0.3861628764786756,9.0,10000
0.18750107706594854,0.1039117724871441,0.26671809298753607,0.5893968669786764,0.6529999999999999,8.645999999999999,0.3724608463650272,6.6,10000
0.3270602434480442,0.07665289172189646,0.7522658212679129,0.5679084490859131,0.75,12.023999999999997,0.3597071146952556,7.2,10000
0.14131864045498238,0.0819021509267732,0.2052712463359863,0.504727526623685,0.63,10.637999999999998,0.42309045737824136,9.8,10000
0.22867144835794093,0.10811014142909971,0.5563041092718792,0.4629437965570591,0.6239999999999999,8.591999999999999,0.34122840486866196,8.0,10000
0.15140072751991773,0.0809285817515721,0.16951652185138588,0.4532884840243714,0.695,11.084,0.4161693567340737,7.8,10000
0.09936326591579393,0.08230554356445852,0.09311674434275155,0.4833720535927406,0.574,10.877,0.3627881205365175,10.0,10000
0.09675409348933917,0.06353049842739647,0.036198054897910836,0.592394743445005,0.704,15.416999999999996,0.4102811816524815,9.8,10000
0.2735856812629159,0.11907532497994225,0.5163804161471394,0.6014989532746149,0.6289999999999999,7.302,0.366489163631112,7.0,10000
0.235828066023629,0.09028282876355764,0.46159198706734444,0.5963295793950474,0.7220000000000001,10.145999999999999,0.39773947817607197,6.8,10000
0.15175745721050687,0.08106609713928083,0.37484555586626506,0.37674145327241154,0.612,10.887999999999998,0.35299644978025235,9.8,10000
0.1304687918125947,0.10689958253341353,0.16636202251961774,0.46998052224443065,0.5800000000000001,8.15,0.3637333215523072,8.6,10000
0.1200862700289106,0.06537618274849064,0.09639201920702352,0.6017243876009503,0.697,14.421999999999997,0.4318809109044164,8.4,10000
0.1293394469483079,0.08125964740642468,0.006305855042745279,0.6028525233725545,0.6900000000000001,10.745999999999999,0.441007447068138,8.2,10000
0.15449117472253884,0.09540963618486759,0.21641912157103907,0.3078869471647257,0.643,9.669999999999998,0.3862717065948814,7.8,10000
0.12948623679304413,0.10582050989821719,0.21333857565894815,0.5124316566963393,0.568,8.779,0.35639640733418715,9.4,10000
0.1291457140941844,0.07539013075123396,0.10944997332976172,0.572171980478457,0.682,12.287,0.43085802775552284,7.6,10000
